Art_Title,Department,Submission_Date,Artist,Nationality,Gender,Birth,Death
Plate IV (folio 7) from FROM JEWISH POEMS,Prints & Illustrated Books,1962,Maurice Grosman,American,Male,1900,1976
The Guilty Girl Is Fragile,Prints & Illustrated Books,2000,Louise Bourgeois,American,Female,1911,2010
Untitled,Drawings,2004,Jarrod Beck,American,Male,1977,1975
Covent Garden Labourers,Photography,1877,John Thomson,British,Male,1837,1921
On the Fortress,Prints & Illustrated Books,1914,Jules Pascin,American,Male,1885,1930
In-text plate (folio 13 verso) from LA MÉTROMANIE,Prints & Illustrated Books,1949,Jean Dubuffet,French,Male,1901,1985
Urchin in the Grass,Painting & Sculpture,1956,Richard Stankiewicz,American,Male,1922,1983
Untitled from Full Moon in Aries (Vollmond im Widder),Prints & Illustrated Books,2004,Sigmar Polke,German,Male,1941,2010
"Sketchbook: El Golea, II",Drawings,1948,Jean Dubuffet,French,Male,1901,1985
Saint-Cloud,Photography,1921,Eugène Atget,French,Male,1857,1927
